"Remote Data: Wavelength (nm)","Remote Data: Intensity (rel)"
828.3,0.106721599145
828.9,0.10748455024
829.6,0.0978713664454
830.2,0.105180437934
830.9,0.100984206912
831.6,0.0981612878614
832.2,0.095567254139
832.9,0.0950942244602
833.6,0.0984206912337
834.2,0.0975356679637
834.9,0.0980544747082
835.5,0.0966201266499
836.2,0.101274128328
836.9,0.101487754635
837.5,0.0954451819638
838.2,0.105897611963
838.9,0.101731898985
839.5,0.103349355306
840.2,0.102479591058
840.9,0.105363546197
841.5,0.104112306401
842.2,0.104249637598
842.8,0.100953688869
843.5,0.0979934386206
844.2,0.0990310521096
844.8,0.104005493248
845.5,0.101792935073
846.2,0.100175478752
846.8,0.0950789654383
847.5,0.0972457465476
848.2,0.0977492942702
848.8,0.0984969863432
849.5,0.0919508659495
850.1,0.0991683833066
850.8,0.0924238956283
851.5,0.0907606622416
852.1,0.0876173037308
852.8,0.0855115587091
853.5,0.0872053101396
854.1,0.0856031128405
854.8,0.0760967421988
855.5,0.0849622339208
856.1,0.0737468528267
856.8,0.07562371252
857.4,0.0811474784466
858.1,0.0803997863737
858.8,0.0906538490883
859.4,0.0848859388113
860.1,0.0864728770886
860.8,0.0810406652934
861.4,0.0842298008698
862.1,0.0796520943008
862.7,0.0789044022278
863.4,0.0727244983597
864.1,0.0749523155566
864.7,0.0781872281987
865.4,0.0725719081407
866.1,0.0721446555276
866.7,0.0751659418631
867.4,0.0742656595712
868.1,0.0780651560235
868.7,0.0680094605936
869.4,0.0680704966812
870.1,0.0671549553674
870.7,0.069565880827
871.4,0.073411154345
872.1,0.0728618295567
872.7,0.0696116578927
873.4,0.0750133516442
874,0.0661326009003
874.7,0.0774090180819
875.4,0.0634164950027
876,0.0661020828565
876.7,0.072236209659
877.4,0.0655527580682
878,0.0621347371633
878.7,0.0630197604334
879.3,0.0631723506523
880,0.0596017395285
880.7,0.0607614251926
881.3,0.0613565270466
882,0.0609903105211
882.7,0.0598001068132
883.3,0.0632639047837
884,0.0591897459373
884.7,0.0580300602731
885.3,0.0587777523461
886,0.0586861982147
886.6,0.0568245975433
887.3,0.0572823682002
888,0.0560006103609
888.6,0.0567025253681
889.3,0.0569771877623
890,0.0545815213245
890.6,0.0558175020981
891.3,0.0511940184634
892,0.0491035324636
892.6,0.048889906157
893.3,0.0479743648432
893.9,0.0529945830472
894.6,0.0497291523613
895.3,0.0451667048142
895.9,0.0433356221866
896.6,0.0374761577783
897.3,0.0352178225376
897.9,0.0416266117342
898.6,0.0375371938659
899.3,0.0376745250629
899.9,0.0391088731212
